name,hyphens,colons,semi_colon,interjections,Preposition_or_subordinating_conjunction,personal_pronoun,possessive_pronoun,male_oriented,female_oriented,comma,period, co_conjunction,fres
pg44454.epub,0.00596442,0.00103515,0.00732818,0.00270289,0.11397283,0.06119683,0.02422734,0.29880747,0.06587806,0.0750152,0.03151444,0.03089828,82.5502136
pg44581.epub,0.00510025,0.00065952,0.00287989,0.00063754,0.12238393,0.06036757,0.02189589,0.52939605,0.04997328,0.06845762,0.03904327,0.03165671,85.12470827
pg44796.epub,0.00719402,0.00106347,0.00040662,0.00153264,0.10963061,0.0670295,0.02183229,0.26082366,0.10524464,0.03844109,0.05261018,0.03512559,96.16756255
pg44841.epub,0.00776574,0.00017258,0.00240523,0.00771181,0.0823815,0.09023352,0.01682576,0.2551884,0.1011485,0.07219976,0.04696112,0.03416923,96.67983091
pg45042.epub,0.01420576,0.00203546,0.0072513,0.00368926,0.10024596,0.071368,0.02629124,0.28397743,0.14459401,0.07331864,0.03447545,0.03337292,84.94001426
pg45401.epub,0.00558386,0.00045136,0.01103876,0.00237282,0.10956219,0.07488556,0.02503063,0.24006196,0.02271554,0.07943775,0.03432846,0.02524986,81.40707455
pg45618.epub,0.00531301,0.00026401,0.00306901,0.00577501,0.0903871,0.0977461,0.02187903,0.23475863,0.03337932,0.06197407,0.05058906,0.03184504,103.037336
pg46008.epub,0.01005355,0.00013859,0.00157481,0.00507717,0.08222993,0.08199056,0.0144,0.139851,0.13645276,0.08317481,0.04296063,0.03719056,94.68998448
pg46402.epub,0.01199204,0.00201376,0.00196851,0.00296407,0.10623134,0.07292516,0.01830483,0.39484127,0.08854167,0.06070686,0.0353652,0.038103,87.59347387
pg46457.epub,0.00851949,0.00084942,0.00172419,0.00224398,0.09204088,0.0680925,0.01872512,0.47561332,0.06542057,0.04770659,0.0553006,0.0266234,100.6673587
pg4653.epub,0.03113363,0.00064621,0.00230094,0.00360456,0.10330312,0.07045127,0.02274791,0.23842732,0.18424112,0.06025767,0.02231835,0.03462612,84.7913935
pg46623.epub,0.01105484,0.00017793,0.00692707,0.00307211,0.1221251,0.07388474,0.02170639,0.15709146,0.0656409,0.07333911,0.02953492,0.0332594,83.5276728
pg48297.epub,0.00359518,0.00052159,0.00508541,0.00147161,0.11746736,0.0818695,0.01913083,0.12910366,0.10863151,0.05940429,0.03801949,0.03617533,90.73570787
pg4918.epub,0.01212675,0.0008551,0.00307056,0.00167132,0.11559279,0.0659392,0.02515718,0.30624,0.19328,0.05705791,0.03871232,0.02880103,92.77562474
pg4929.epub,0.01531246,0.00098514,0.00398339,0.00303037,0.09857798,0.09652204,0.0236433,0.23409375,0.23694529,0.05486787,0.05093803,0.02933996,92.52140695
pg502.epub,0.00899708,0.00019593,0.00256276,0.00210821,0.09519033,0.06698434,0.01892678,0.40831965,0.09478198,0.05706248,0.06044813,0.03305721,98.23200488
pg5094.epub,0.0060619,0.00043646,0.00010669,0.00142576,0.10875533,0.07999768,0.01807901,0.33771757,0.12183545,0.05486747,0.05732132,0.02952388,96.55478341
pg51628.epub,0.00377104,0.00023921,0.00980751,0.00174481,0.12020882,0.05442675,0.02359712,0.38340848,0.07880974,0.08234368,0.02090956,0.04045422,69.64380955
pg5165.epub,0.03768191,0.00030227,0.00069269,0.00433242,0.09701958,0.09057134,0.02591891,0.20622737,0.25882481,0.04717166,0.02564184,0.03698923,93.23115897
pg525.epub,0.01851511,0.0015378,0.00399828,0.00190688,0.11330504,0.07123086,0.01666975,0.14555634,0.08957313,0.06618688,0.04607247,0.03666114,98.01239622
pg5662.epub,0.01071387,0.00116456,0.00687086,0.0044253,0.08314895,0.0991033,0.02911378,0.18891917,0.24977294,0.06265285,0.0490276,0.03924538,104.4114315
pg587.epub,0.00760231,0.00196817,0.00072455,0.00310365,0.09166018,0.11030366,0.01437192,0.24685576,0.09862087,0.05321611,0.04515962,0.04950688,100.073559
pg6105.epub,0.01257507,0.00209157,0.00587692,0.00043628,0.12628959,0.05258431,0.02798594,0.39353401,0.27647715,0.06326028,0.03492789,0.03703229,91.31914633
pg6113.epub,0.00727276,0.00166683,0.00510513,0.00454454,0.09923237,0.09845501,0.02643755,0.06625173,0.16613801,0.05937797,0.0437337,0.03442786,90.19657547
pg6410.epub,0.01496314,0.00334355,0.0121392,0.00447313,0.09360434,0.0801473,0.02646224,0.25379671,0.16627817,0.04548433,0.05690059,0.01775697,96.25931206
pg6864.epub,0.01427701,0.00133283,0.00264306,0.00492467,0.09439312,0.0640319,0.01602775,0.32322235,0.02468962,0.05434071,0.05831658,0.02095241,90.66715634
pg7758.epub,0.01714678,0.00372331,0.01263963,0.00176367,0.11787185,0.08632178,0.03429356,0.19171406,0.08935825,0.05712327,0.03155007,0.04036842,83.49788284
pg8182.epub,0.00456372,0.00135486,0.00834304,0.00280479,0.11435431,0.07173588,0.01918186,0.28392157,0.08313726,0.06470015,0.03477455,0.03788834,84.90717701
pg8396.epub,0.01841349,0.00137379,0.0050131,0.00373572,0.09072578,0.07003069,0.02356316,0.46875537,0.04120172,0.0577229,0.06363578,0.0260215,109.1592668
pg8464.epub,0.01695181,0.00111915,0.0058673,0.00379359,0.09553082,0.10623679,0.03013471,0.23895728,0.26412021,0.07131278,0.0566898,0.03205208,101.6178635
pg8865.epub,0.02399156,0.00045268,0.0031687,0.00465245,0.07391108,0.09340107,0.01767931,0.12497171,0.25605615,0.04363244,0.05444624,0.02283473,97.96624159
pg8899.epub,0.02014635,0.00076024,0.00183725,0.00324686,0.10233141,0.07737021,0.03311794,0.37715023,0.21301606,0.05671704,0.0410371,0.04550351,97.37572504
pg9746.epub,0.00762632,0,0.01429934,0.00381316,0.11439467,0.07530982,0.02192565,0.54901961,0,0.06673022,0.04003814,0.02955196,82.38988927
pg9807.epub,0.0231838,0.00032878,0.00158024,0.00310744,0.0992364,0.07921307,0.01553718,0.31631968,0.05663757,0.05625199,0.04196628,0.03341818,92.68728941
pg9849.epub,0.0057125,0.00009579,0.00404055,0.00195061,0.10150998,0.08536522,0.02262357,0.27110717,0.18046932,0.05891881,0.04751124,0.03162772,95.46666186
pg9927.epub,0.01496663,0.00136387,0.00680138,0.00258417,0.11346996,0.06743953,0.02532123,0.37134843,0.07274135,0.0595345,0.04105054,0.0324546,87.6695809
